name,score,Energy,Fat,Saturated Fat,Unsaturated Fat,Carbohydrates,Suger,Fiber,Protein,Salt,Calcium,Vitamin B2,Vitamin C,Omega3,Alpha-Linolenic Acid,Eicosapentaenoic Acid,Docosahexaenoic Acid,Vitamin B6,Vitamin D
AH Vegan falafel,A,233.0,9.7,0.9,8.8,25.0,6.6,5.8,8.4,1.43,,,,,,,,,
AH Rundervink,D,245.0,18.0,7.9,7.8,2.6,0.5,0.3,18.0,1.23,,,,,,,,,
AH Mager rundergehakt,B,192.0,12.0,5.2,5.1,0.9,0.0,0.0,20.0,0.2,,,,,,,,,
AH Scharrel kipgehakt gekruid,D,195.0,14.0,4.5,8.1,1.3,0.3,0.1,16.0,1.15,,,,,,,,,
AH Wilde zalmfilet,A,99.0,2.5,0.6,1.9,0.0,0.0,0.0,19.0,0.25,,,,,,,,,
AH Maatjesharing met uitjes,D,167.0,11.0,2.4,8.6,0.0,0.0,0.0,17.0,2.03,,,,,,,,,
AH Hamburgers,D,210.0,14.0,4.9,9.5,7.6,0.6,1.0,13.0,1.75,,,,,,,,,
AH Shoarma,B,158.0,8.0,2.3,5.1,1.4,0.08,0.4,20.0,1.08,,,,,,,,,
AH Scharrel kipfiletblokjes,A,114.0,1.2,0.5,0.7,0.0,0.0,1.6,25.0,0.1,,,,,,,,,
AH Pangasiusfilet,A,78.0,1.5,0.3,1.2,0.0,0.0,0.0,16.0,0.4,,,,,,,,,
AH Scharrel gebraden kipflakes kebab,B,156.0,8.0,2.3,5.7,1.4,0.7,1.2,19.0,1.28,,,,,,,,,
AH Bacon,D,104.0,4.0,1.0,2.9,1.9,1.9,0.0,15.0,4.0,,,,,,,,,
AH Biologisch Kipfilet 2 stuks,A,103.0,0.8,0.3,0.5,0.0,0.0,0.0,24.0,0.13,,,,,,,,,
AH Scharrel kipkluifjes,B,203.0,15.0,5.4,9.5,0.0,0.0,0.0,17.0,0.23,,,,,,,,,
AH Rundertartaar,B,171.0,9.8,4.3,4.2,0.8,0.0,0.0,20.0,0.35,,,,,,,,,
AH Scharrel kipdijfiletreepjes shoarma,C,166.0,10.0,2.9,6.8,0.7,0.3,0.8,18.0,1.08,,,,,,,,,
AH Biologisch Mager rundergehakt,C,189.0,12.0,5.3,5.2,0.3,0.0,0.0,20.0,0.33,,,,,,,,,
AH Uitgebakken ontbijtspek,E,455.0,35.0,14.0,21.0,0.5,0.5,0.0,35.0,4.6,,,,,,,,,
AH Speklap,D,320.0,28.0,11.0,16.0,0.0,0.0,0.0,17.0,0.15,,,,,,,,,
AH Catalaanse braadworst,D,264.0,20.0,7.8,11.0,2.0,0.6,0.2,19.0,1.35,,,,,,,,,
AH Voor in de oven scharrel kippendijen,D,259.0,21.0,5.4,15.0,1.2,0.6,0.4,16.0,1.15,,,,,,,,,
AH Scharrel gerookte kipfilet plakjes,B,115.0,1.8,0.5,1.3,0.8,0.8,0.0,24.0,1.43,,,,,,,,,
AH Biologisch Rundergehakt balletjes,D,223.0,16.0,7.0,6.8,1.7,0.2,0.2,18.0,1.15,,,,,,,,,
